02-Dec-21 22:50:03 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [S], seq 0, ack 0, win 1, length 1 
02-Dec-21 22:50:06 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 0, ack 1, win 1, length 1 
02-Dec-21 22:50:55 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 1, ack 1, win 1, length 4 
02-Dec-21 22:50:58 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 1, ack 5, win 1, length 1 
02-Dec-21 22:50:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 5, ack 2, win 2, length 4 
02-Dec-21 22:50:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 9, ack 2, win 2, length 4 
02-Dec-21 22:51:01 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 2, ack 9, win 2, length 1 
02-Dec-21 22:51:02 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 2, ack 13, win 2, length 1 
02-Dec-21 22:51:02 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 13, ack 3, win 4, length 4 
02-Dec-21 22:51:02 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 17, ack 3, win 4, length 4 
02-Dec-21 22:51:02 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 21, ack 3, win 4, length 4 
02-Dec-21 22:51:02 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 25, ack 3, win 4, length 4 
02-Dec-21 22:51:07 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 3, ack 17, win 4, length 1 
02-Dec-21 22:51:08 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 3, ack 21, win 4, length 1 
02-Dec-21 22:51:09 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 3, ack 25, win 4, length 1 
02-Dec-21 22:51:10 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 3, ack 29, win 4, length 1 
02-Dec-21 22:51:10 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 29, ack 4, win 8, length 4 
02-Dec-21 22:51:10 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 33, ack 4, win 8, length 4 
02-Dec-21 22:51:10 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 37, ack 4, win 8, length 4 
